d3mIndex,timeseries_file,label
0,0000_train_ts.csv,-1
1,0001_train_ts.csv,1
2,0002_train_ts.csv,-1
3,0003_train_ts.csv,-1
4,0004_train_ts.csv,1
5,0005_train_ts.csv,1
6,0006_train_ts.csv,-1
7,0007_train_ts.csv,-1
8,0008_train_ts.csv,1
9,0009_train_ts.csv,1
10,0010_train_ts.csv,1
11,0011_train_ts.csv,1
12,0012_train_ts.csv,1
13,0013_train_ts.csv,1
14,0014_train_ts.csv,-1
15,0015_train_ts.csv,1
16,0016_train_ts.csv,1
17,0017_train_ts.csv,1
18,0018_train_ts.csv,-1
19,0019_train_ts.csv,-1
20,0020_train_ts.csv,1
21,0021_train_ts.csv,1
22,0022_train_ts.csv,1
23,0023_train_ts.csv,-1
24,0024_train_ts.csv,1
25,0025_train_ts.csv,1
26,0026_train_ts.csv,1
27,0027_train_ts.csv,-1
28,0028_train_ts.csv,1
29,0029_train_ts.csv,1
30,0030_train_ts.csv,1
31,0031_train_ts.csv,1
32,0032_train_ts.csv,1
33,0033_train_ts.csv,1
34,0034_train_ts.csv,1
35,0035_train_ts.csv,-1
36,0036_train_ts.csv,1
37,0037_train_ts.csv,1
38,0038_train_ts.csv,1
39,0039_train_ts.csv,1
40,0040_train_ts.csv,1
41,0041_train_ts.csv,1
42,0042_train_ts.csv,1
43,0043_train_ts.csv,-1
44,0044_train_ts.csv,-1
45,0045_train_ts.csv,1
46,0046_train_ts.csv,-1
47,0047_train_ts.csv,-1
48,0048_train_ts.csv,1
49,0049_train_ts.csv,-1
50,0050_train_ts.csv,1
51,0051_train_ts.csv,1
52,0052_train_ts.csv,1
53,0053_train_ts.csv,-1
54,0054_train_ts.csv,1
55,0055_train_ts.csv,1
56,0056_train_ts.csv,-1
57,0057_train_ts.csv,-1
58,0058_train_ts.csv,1
59,0059_train_ts.csv,1
60,0060_train_ts.csv,1
61,0061_train_ts.csv,-1
62,0062_train_ts.csv,1
63,0063_train_ts.csv,1
64,0064_train_ts.csv,1
65,0065_train_ts.csv,-1
66,0066_train_ts.csv,1
67,0067_train_ts.csv,1
68,0068_train_ts.csv,1
69,0069_train_ts.csv,1
70,0070_train_ts.csv,1
71,0071_train_ts.csv,1
72,0072_train_ts.csv,-1
73,0073_train_ts.csv,1
74,0074_train_ts.csv,1
75,0075_train_ts.csv,1
76,0076_train_ts.csv,1
77,0077_train_ts.csv,1
78,0078_train_ts.csv,1
79,0079_train_ts.csv,1
80,0080_train_ts.csv,1
81,0081_train_ts.csv,1
82,0082_train_ts.csv,1
83,0083_train_ts.csv,-1
84,0084_train_ts.csv,-1
85,0085_train_ts.csv,-1
86,0086_train_ts.csv,-1
87,0087_train_ts.csv,1
88,0088_train_ts.csv,-1
89,0089_train_ts.csv,1
90,0090_train_ts.csv,-1
91,0091_train_ts.csv,1
92,0092_train_ts.csv,1
93,0093_train_ts.csv,-1
94,0094_train_ts.csv,1
95,0095_train_ts.csv,1
96,0096_train_ts.csv,-1
97,0097_train_ts.csv,-1
98,0098_train_ts.csv,1
99,0099_train_ts.csv,1
100,0100_test_ts.csv,1
101,0101_test_ts.csv,1
102,0102_test_ts.csv,1
103,0103_test_ts.csv,1
104,0104_test_ts.csv,-1
105,0105_test_ts.csv,1
106,0106_test_ts.csv,1
107,0107_test_ts.csv,1
108,0108_test_ts.csv,1
109,0109_test_ts.csv,-1
110,0110_test_ts.csv,-1
111,0111_test_ts.csv,1
112,0112_test_ts.csv,-1
113,0113_test_ts.csv,-1
114,0114_test_ts.csv,-1
115,0115_test_ts.csv,1
116,0116_test_ts.csv,1
117,0117_test_ts.csv,1
118,0118_test_ts.csv,-1
119,0119_test_ts.csv,1
120,0120_test_ts.csv,-1
121,0121_test_ts.csv,1
122,0122_test_ts.csv,1
123,0123_test_ts.csv,1
124,0124_test_ts.csv,1
125,0125_test_ts.csv,1
126,0126_test_ts.csv,-1
127,0127_test_ts.csv,1
128,0128_test_ts.csv,-1
129,0129_test_ts.csv,1
130,0130_test_ts.csv,1
131,0131_test_ts.csv,1
132,0132_test_ts.csv,-1
133,0133_test_ts.csv,-1
134,0134_test_ts.csv,1
135,0135_test_ts.csv,1
136,0136_test_ts.csv,1
137,0137_test_ts.csv,1
138,0138_test_ts.csv,-1
139,0139_test_ts.csv,-1
140,0140_test_ts.csv,1
141,0141_test_ts.csv,1
142,0142_test_ts.csv,-1
143,0143_test_ts.csv,1
144,0144_test_ts.csv,1
145,0145_test_ts.csv,1
146,0146_test_ts.csv,1
147,0147_test_ts.csv,1
148,0148_test_ts.csv,1
149,0149_test_ts.csv,1
150,0150_test_ts.csv,1
151,0151_test_ts.csv,-1
152,0152_test_ts.csv,-1
153,0153_test_ts.csv,-1
154,0154_test_ts.csv,-1
155,0155_test_ts.csv,-1
156,0156_test_ts.csv,1
157,0157_test_ts.csv,-1
158,0158_test_ts.csv,-1
159,0159_test_ts.csv,-1
160,0160_test_ts.csv,-1
161,0161_test_ts.csv,1
162,0162_test_ts.csv,1
163,0163_test_ts.csv,-1
164,0164_test_ts.csv,-1
165,0165_test_ts.csv,-1
166,0166_test_ts.csv,1
167,0167_test_ts.csv,1
168,0168_test_ts.csv,1
169,0169_test_ts.csv,1
170,0170_test_ts.csv,1
171,0171_test_ts.csv,1
172,0172_test_ts.csv,1
173,0173_test_ts.csv,1
174,0174_test_ts.csv,1
175,0175_test_ts.csv,-1
176,0176_test_ts.csv,1
177,0177_test_ts.csv,1
178,0178_test_ts.csv,1
179,0179_test_ts.csv,1
180,0180_test_ts.csv,1
181,0181_test_ts.csv,-1
182,0182_test_ts.csv,1
183,0183_test_ts.csv,1
184,0184_test_ts.csv,-1
185,0185_test_ts.csv,-1
186,0186_test_ts.csv,-1
187,0187_test_ts.csv,-1
188,0188_test_ts.csv,1
189,0189_test_ts.csv,1
190,0190_test_ts.csv,1
191,0191_test_ts.csv,-1
192,0192_test_ts.csv,1
193,0193_test_ts.csv,1
194,0194_test_ts.csv,1
195,0195_test_ts.csv,1
196,0196_test_ts.csv,1
197,0197_test_ts.csv,-1
198,0198_test_ts.csv,-1
199,0199_test_ts.csv,1
