d3mIndex,Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income,Trips
1,50.0,0.0,1093.75,170.4,0,0.0,0.0,6.997367438,
6,66.0,0.0,265.63,48.0003,0,0.0,1.0,5.582104362999999,
19,22.0,1.0,625.0,48.0003,1,1.0,2.0,6.43775165,
30,29.0,0.0,1562.5,348.9,0,0.0,0.0,7.354042382,
31,17.0,1.0,1875.0,48.0003,0,2.0,1.0,7.536363937999999,
46,18.0,0.0,,48.0003,1,5.0,3.0,,
59,39.0,0.0,781.25,52.2,0,0.0,0.0,6.6608952010000015,
62,32.0,0.0,187.5,48.0003,0,0.0,2.0,5.233778845,
66,42.0,1.0,937.5,48.0003,0,0.0,1.0,6.843216758,
68,36.0,1.0,1250.0,48.0003,0,2.0,3.0,7.13089883,
69,32.0,1.0,990.0990099,48.0003,0,0.0,0.0,6.897804947999999,
71,47.0,0.0,990.0990099,48.0003,0,0.0,1.0,6.897804947999999,
72,38.0,0.0,,239.1,1,0.0,1.0,,
74,29.0,0.0,468.5,48.0003,0,0.0,0.0,6.149536102000001,
79,35.0,1.0,,48.0003,1,0.0,0.0,,
95,20.0,0.0,25.0,48.0,0,0.0,0.0,3.218875825,
99,46.0,0.0,2500.0,48.0003,0,0.0,0.0,7.824046011,
106,42.0,0.0,7.425742574,48.0003,0,0.0,1.0,2.00495269,
116,41.0,1.0,406.25,48.0003,0,1.0,3.0,6.006968734,
117,31.0,1.0,875.0,196.2,0,2.0,2.0,6.7742238860000015,
120,43.0,1.0,,303.6,0,2.0,2.0,,
122,29.0,0.0,117.25,48.0003,0,2.0,1.0,4.764308407,
130,41.0,0.0,2187.5,186.9,0,0.0,3.0,7.690514618,
132,32.0,0.0,700.0,190.8,0,0.0,0.0,6.551080335,
134,34.0,0.0,,48.0003,0,0.0,1.0,,
139,28.0,0.0,1562.5,82.2,1,2.0,3.0,7.354042382,
140,23.0,0.0,125.0,457.8,1,1.0,2.0,4.828313737,
141,47.0,1.0,2000.0,161.7,0,0.0,0.0,7.60090246,
157,51.0,0.0,1031.25,161.7,1,2.0,3.0,6.938526938,
171,19.0,1.0,,48.0003,0,,3.0,,
172,24.0,1.0,1562.5,48.0,1,3.0,2.0,7.354042382,
174,47.0,0.0,1406.25,170.4,0,2.0,0.0,7.248681866,
175,32.0,1.0,1000.0,161.7,0,3.0,4.0,6.907755279,
177,32.0,1.0,781.25,176.4,0,2.0,2.0,6.6608952010000015,
180,50.0,0.0,1562.5,203.7,0,0.0,0.0,7.354042382,
195,39.0,1.0,1237.623762,48.0003,1,1.0,1.0,7.120948499,
197,22.0,1.0,396.039604,48.0003,1,0.0,0.0,5.981514216,
206,30.0,0.0,312.5,48.0003,0,1.0,1.0,5.744604469,
210,38.0,1.0,117.25,48.0003,0,0.0,0.0,4.764308407,
211,34.0,1.0,937.5,190.8,0,0.0,2.0,6.843216758,
215,24.0,0.0,3125.0,48.0003,0,2.0,1.0,8.047189562,
217,59.0,0.0,671.88,48.0003,0,2.0,1.0,6.510079752999999,
221,39.0,1.0,1093.75,48.0003,0,0.0,0.0,6.997367438,
228,26.0,1.0,742.5742574,48.0003,0,0.0,0.0,6.610122876,
233,28.0,0.0,625.0,21.0,0,0.0,0.0,6.43775165,
244,30.0,1.0,781.25,48.0003,0,0.0,0.0,6.6608952010000015,
245,21.0,0.0,937.5,48.0003,0,1.0,0.0,6.843216758,
246,64.0,0.0,1875.0,48.0003,0,1.0,2.0,7.536363937999999,
247,34.0,1.0,,48.0,0,2.0,2.0,,
248,19.0,0.0,1562.5,48.0003,1,1.0,0.0,7.354042382,
260,32.0,1.0,2187.5,48.0003,0,1.0,1.0,7.690514618,
264,25.0,1.0,218.75,52.2,0,2.0,2.0,5.387929525,
266,52.0,1.0,1031.25,48.0003,1,2.0,2.0,6.938526938,
268,17.0,0.0,,190.8,0,1.0,0.0,,
272,36.0,1.0,937.5,48.0003,0,2.0,1.0,6.843216758,
275,30.0,0.0,562.5,82.2,0,1.0,0.0,6.332391134,
277,23.0,0.0,2125.0,239.1,0,0.0,0.0,7.661527081,
280,31.0,1.0,,520.2,0,3.0,3.0,,
301,35.0,1.0,1250.0,48.0003,0,3.0,2.0,7.13089883,
309,22.0,0.0,2000.0,535.5,0,0.0,0.0,7.60090246,
310,42.0,1.0,,48.0003,0,0.0,1.0,,
317,53.0,0.0,343.75,52.2,0,1.0,1.0,5.839914649,
319,17.0,1.0,2500.0,176.4,0,2.0,1.0,7.824046011,
321,33.0,0.0,625.0,457.8,0,0.0,0.0,6.43775165,
332,15.0,1.0,322.44,48.0,0,0.0,0.0,5.775917072,
333,34.0,1.0,742.5742574,48.0003,1,0.0,0.0,6.610122876,
340,45.0,0.0,312.5,197.4,0,1.0,0.0,5.744604469,
342,63.0,0.0,,48.0,0,0.0,1.0,,
347,28.0,1.0,1093.75,82.2,0,2.0,1.0,6.997367438,
348,16.0,0.0,,161.7,0,1.0,1.0,,
356,42.0,1.0,1875.0,48.0003,0,0.0,1.0,7.536363937999999,
359,28.0,0.0,,,0,0.0,0.0,,
363,21.0,1.0,,170.4,0,1.0,2.0,,
374,23.0,0.0,,48.0003,1,0.0,0.0,,
376,34.0,0.0,1406.25,48.0,1,1.0,3.0,7.248681866,
380,47.0,1.0,,457.8,0,0.0,0.0,,
385,47.0,0.0,2656.25,197.4,1,1.0,2.0,7.884670633,
397,24.0,0.0,1000.0,303.6,0,0.0,0.0,6.907755279,
401,42.0,0.0,1250.0,48.0,0,2.0,2.0,7.13089883,
404,32.0,0.0,937.5,48.0003,0,0.0,0.0,6.843216758,
409,29.0,0.0,1562.5,170.4,0,0.0,0.0,7.354042382,
411,30.0,0.0,990.0990099,48.0003,0,0.0,0.0,6.897804947999999,
